iter	Passed	Remaining
0	1	1209
1	1	848
2	2	713
3	2	637
4	3	614
5	4	680
6	4	668
7	5	675
8	5	645
9	6	620
10	6	605
11	7	595
12	7	590
13	8	582
14	8	583
15	9	571
16	9	566
17	10	564
18	10	558
19	11	552
20	11	548
21	12	556
22	13	556
23	13	553
24	14	547
25	14	541
26	14	536
27	15	530
28	15	525
29	16	521
30	16	517
31	16	513
32	17	509
33	17	506
34	18	502
35	18	500
36	19	496
37	19	495
38	19	492
39	20	489
40	20	486
41	21	486
42	21	484
43	22	480
44	22	478
45	22	475
46	23	473
47	23	471
48	24	469
49	24	468
50	25	467
51	25	465
52	25	463
53	26	462
54	27	467
55	27	465
56	28	463
57	28	462
58	28	461
59	29	459
60	29	457
61	30	455
62	30	453
63	30	451
64	31	450
65	31	449
66	32	447
67	32	445
68	32	444
69	33	443
70	33	441
71	34	440
72	34	439
73	35	438
74	35	436
75	35	435
76	36	434
77	36	433
78	37	432
79	37	432
80	38	431
81	38	431
82	38	430
83	39	429
84	39	429
85	40	431
86	40	429
87	41	428
88	41	428
89	42	426
90	42	425
91	43	424
92	43	424
93	43	423
94	44	421
95	44	420
96	45	419
97	45	418
98	45	417
99	46	416
100	46	415
101	47	414
102	47	413
103	47	412
104	48	411
105	48	410
106	49	409
107	49	408
108	49	407
109	50	406
110	50	405
111	51	404
112	51	404
113	51	404
114	52	404
115	52	403
116	53	402
117	53	401
118	54	400
119	54	400
120	54	399
121	55	398
122	55	397
123	56	396
124	56	396
125	57	395
126	57	395
127	57	395
128	58	394
129	58	394
130	59	394
131	59	393
132	60	392
133	60	391
134	60	390
135	61	389
136	61	389
137	62	388
138	62	387
139	62	386
140	63	386
141	63	385
142	64	385
143	64	385
144	65	384
145	65	384
146	66	383
147	66	383
148	67	383
149	67	383
150	68	382
151	68	382
152	68	381
153	69	380
154	69	380
155	70	380
156	70	379
157	71	379
158	71	378
159	72	378
160	72	377
161	72	376
162	73	377
163	73	376
164	74	375
165	74	375
166	75	374
167	75	373
168	75	373
169	76	372
170	76	371
171	77	371
172	77	370
173	78	370
174	78	369
175	78	369
176	79	368
177	79	368
178	80	367
179	80	366
180	81	367
181	81	366
182	81	365
183	82	364
184	82	364
185	83	363
186	83	363
187	83	362
188	84	361
189	84	361
190	85	360
191	85	360
192	86	359
193	86	359
194	86	358
195	87	358
196	87	357
197	88	357
198	88	356
199	89	356
200	89	355
201	89	354
202	90	354
203	90	353
204	91	353
205	91	353
206	92	352
207	92	352
208	92	351
209	93	351
210	93	350
211	94	349
212	94	349
213	94	348
214	95	348
215	95	347
216	96	347
217	96	346
218	96	345
219	97	345
220	97	344
221	98	344
222	98	343
223	99	342
224	99	342
225	99	341
226	100	341
227	100	340
228	101	340
229	101	339
230	101	339
231	102	338
232	103	339
233	103	339
234	104	339
235	104	338
236	105	338
237	105	337
238	105	337
239	106	336
240	106	336
241	107	335
242	107	335
243	107	334
244	108	334
245	109	334
246	109	333
247	109	332
248	110	332
249	110	331
250	110	331
251	111	330
252	111	330
253	112	329
254	112	329
255	113	329
256	113	328
257	114	328
258	114	327
259	114	327
260	115	327
261	116	327
262	116	326
263	117	326
264	117	325
265	118	325
266	118	325
267	119	325
268	119	324
269	119	324
270	120	323
271	120	323
272	121	322
273	121	322
274	122	321
275	122	321
276	122	320
277	123	320
278	123	319
279	124	319
280	124	318
281	124	317
282	125	317
283	125	316
284	126	316
285	127	317
286	127	316
287	127	316
288	128	315
289	128	315
290	129	314
291	129	314
292	129	313
293	130	313
294	130	312
295	131	312
296	131	311
297	131	310
298	132	310
299	132	310
300	133	309
301	133	309
302	134	308
303	134	308
304	135	307
305	135	307
306	136	307
307	136	306
308	137	306
309	137	306
310	138	305
311	138	305
312	138	304
313	139	304
314	139	303
315	140	303
316	140	302
317	141	302
318	141	302
319	141	301
320	142	301
321	142	300
322	143	300
323	143	299
324	144	299
325	144	298
326	144	298
327	145	297
328	145	297
329	146	297
330	146	296
331	147	296
332	147	295
333	147	295
334	148	294
335	148	294
336	149	293
337	149	293
338	150	292
339	150	292
340	150	291
341	151	291
342	151	290
343	152	290
344	152	289
345	153	289
346	153	289
347	154	288
348	154	288
349	154	287
350	155	287
351	155	286
352	156	286
353	156	285
354	156	284
355	157	284
356	157	283
357	158	283
358	158	282
359	158	282
360	159	281
361	159	281
362	160	280
363	160	280
364	160	279
365	161	279
366	161	278
367	162	278
368	162	277
369	162	277
370	163	276
371	163	276
372	164	276
373	164	275
374	165	275
375	165	274
376	165	274
377	166	273
378	166	273
379	167	272
380	167	272
381	168	271
382	168	271
383	168	271
384	169	270
385	169	270
386	170	269
387	170	269
388	170	268
389	171	268
390	171	267
391	172	267
392	172	266
393	173	266
394	173	265
395	173	265
396	174	264
397	174	264
398	175	263
399	175	263
400	176	263
401	176	262
402	176	262
403	177	261
404	177	261
405	178	260
406	178	260
407	179	259
408	179	259
409	179	258
410	180	258
411	180	257
412	181	257
413	181	257
414	182	256
415	182	256
416	182	255
417	183	255
418	183	254
419	184	254
420	184	253
421	184	253
422	185	252
423	185	252
424	186	251
425	186	251
426	187	250
427	187	250
428	187	250
429	188	249
430	188	249
431	189	248
432	189	248
433	190	247
434	190	247
435	190	247
436	191	246
437	191	246
438	192	245
439	192	245
440	193	244
441	193	244
442	194	244
443	194	243
444	195	243
445	195	242
446	196	242
447	196	242
448	196	241
449	197	241
450	197	240
451	198	240
452	198	240
453	201	241
454	203	243
455	204	243
456	205	244
457	207	245
458	208	245
459	210	246
460	210	246
461	211	246
462	213	247
463	214	247
464	215	247
465	215	247
466	216	247
467	219	248
468	219	248
469	220	248
470	221	248
471	221	247
472	222	247
473	223	247
474	223	247
475	224	246
476	224	246
477	225	246
478	225	245
479	226	245
480	227	245
481	227	244
482	228	245
483	229	244
484	230	244
485	230	244
486	231	244
487	232	243
488	233	244
489	234	244
490	235	244
491	236	244
492	236	243
493	237	243
494	237	242
495	238	242
496	239	241
497	239	241
498	240	240
499	240	240
500	240	240
501	241	239
502	241	239
503	242	238
504	242	238
505	243	237
506	243	237
507	244	236
508	244	236
509	245	235
510	245	235
511	246	234
512	246	234
513	247	233
514	247	233
515	248	233
516	248	232
517	249	232
518	249	231
519	250	231
520	250	230
521	251	230
522	251	229
523	252	228
524	252	228
525	252	227
526	253	227
527	253	226
528	254	226
529	254	225
530	255	225
531	255	224
532	255	224
533	256	223
534	256	223
535	257	222
536	257	222
537	258	221
538	258	221
539	259	220
540	259	220
541	260	219
542	260	219
543	260	218
544	261	218
545	261	217
546	262	217
547	262	216
548	263	216
549	263	215
550	263	214
551	264	214
552	264	213
553	265	213
554	265	212
555	265	212
556	266	211
557	266	211
558	267	210
559	267	210
560	267	209
561	268	209
562	268	208
563	269	208
564	269	207
565	270	207
566	270	206
567	270	205
568	271	205
569	271	204
570	272	204
571	272	203
572	272	203
573	273	202
574	273	202
575	274	201
576	274	201
577	275	200
578	275	200
579	275	199
580	276	199
581	276	198
582	277	198
583	277	197
584	278	197
585	278	196
586	278	196
587	279	195
588	279	195
589	280	194
590	280	194
591	280	193
592	281	193
593	281	192
594	282	192
595	282	191
596	283	191
597	283	190
598	283	189
599	284	189
600	284	188
601	285	188
602	285	187
603	285	187
604	286	186
605	286	186
606	287	185
607	287	185
608	287	184
609	288	184
610	288	183
611	289	183
612	289	182
613	290	182
614	290	181
615	290	181
616	291	180
617	291	180
618	292	179
619	292	179
620	293	178
621	293	178
622	293	177
623	294	177
624	294	176
625	295	176
